,raceId,driverId,startingPosition,driverStandingsId,points,position,positionText,wins,pit_times,first_lap_ranks,first_lap_change,accident
57,21,22,11,63,0.0,17,17,0,[12.80820549 13.98339799  9.23894129],13,2,0
58,21,6,12,53,5.0,11,11,0,[10.79417403  4.2370545   4.31073425],7,-5,0
59,21,18,13,60,3.0,12,12,0,[6.76520286 9.81891421],15,2,0
60,21,10,14,67,0.0,14,14,0,[ 7.17889718  3.16151197 13.69679577],14,0,0
61,21,3,15,50,7.0,9,9,0,[3.38411548 5.11841787 4.03414839],17,2,0
62,21,7,16,54,2.0,13,13,0,[3.45348436 8.48224078],16,0,0
63,21,14,17,59,0.0,15,15,0,[8.79283863 9.48158635],19,2,0
64,21,21,19,62,0.0,16,16,0,[11.19326591  7.67472282  7.17714866],20,1,0
65,21,16,20,68,0.0,21,21,0,[10.73627522 14.30163205 14.66477421],22,2,0
66,21,19,21,64,0.0,20,20,0,[11.12081187 12.18257598 13.2547372 ],21,0,0
67,21,11,22,65,0.0,19,19,0,[10.7227534  14.39283699 10.57873876],12,-10,0
68,22,13,1,87,28.0,2,2,2,[ 9.33664633 10.21608378],1,0,0
69,22,5,2,73,14.0,6,6,0,[14.73880144  3.02639757  4.47831022],2,0,0
70,22,1,3,69,28.0,3,3,1,[11.65493258  8.27783218],3,0,0
71,22,8,4,76,35.0,1,1,2,[6.02976295 7.08635389 9.67466008],5,1,0
72,22,9,5,77,24.0,4,4,0,[ 5.46756796 13.70948016 14.19155231],6,1,0
73,22,17,6,79,10.0,7,7,0,[ 5.15063194 10.67391361],4,-2,0
74,22,4,7,72,9.0,8,8,0,[ 7.9992966  14.20876159  3.94112017],9,2,0
75,22,15,8,78,9.0,9,9,0,[5.17239615 8.77631702],7,-1,0
76,22,2,9,70,20.0,5,5,0,[ 4.74367624 13.62054892 11.02157148],8,-1,0
77,22,14,10,80,0.0,14,14,0,[4.69215068 5.41376043],11,1,0
78,22,3,11,71,8.0,10,10,0,[4.34204722 5.11621754 7.00357629],12,1,0
79,22,22,12,84,0.0,17,17,0,[6.33290188 4.05441957],10,-2,0
80,22,18,13,81,3.0,12,12,0,[12.31668235  4.08166419 10.72577359],13,0,0
81,22,20,14,90,0.0,22,22,0,[ 7.54626891 14.86505201 13.20232831],15,1,0
82,22,10,15,88,0.0,15,15,0,[ 4.73355884  8.47201352 12.59168245],14,-1,0
83,22,6,16,74,5.0,11,11,0,[7.30683355 9.48463489],16,0,0
84,22,12,17,82,0.0,18,18,0,[10.91236425  8.80565972],19,2,0
85,22,7,18,75,2.0,13,13,0,[11.97672414  4.27963508 13.65839905],17,-1,0
86,22,21,19,83,0.0,16,16,0,[7.78403084 6.34601091],20,1,0
87,22,16,20,89,0.0,21,21,0,[4.77487593 9.74819392],18,-2,0
88,23,13,1,109,34.0,3,3,2,[7.98940002 5.09388735],2,1,0
89,23,8,2,98,35.0,2,2,2,[12.83432458  8.74434244  5.61570296],3,1,0
90,23,1,3,91,38.0,1,1,2,[ 9.63587756 11.44384454],1,-2,0
91,23,5,4,95,15.0,6,6,0,[ 4.51446419  8.90977069 11.36076222],4,0,0
92,23,9,5,99,32.0,4,4,0,[13.95304602  6.6256847   4.24735516],5,0,0
93,23,3,6,93,8.0,10,10,0,[ 8.96848815 11.46983876],7,1,0
94,23,4,7,94,9.0,8,8,0,[ 9.5421592  14.97925179],6,-1,0
95,23,15,8,100,9.0,9,9,0,[8.13944126 8.38034727],9,1,0
96,23,17,9,101,15.0,7,7,0,[ 3.75685418 10.51094526],8,-1,0
97,23,14,10,102,0.0,16,16,0,[8.10396692 3.5910793  5.89654973],11,1,0
98,23,10,11,110,0.0,17,17,0,[12.5969636   5.14405394],13,2,0
99,23,18,12,103,3.0,13,13,0,[14.17268956 13.14296812],12,0,0
100,23,2,13,92,20.0,5,5,0,[12.62318945 11.54321624  3.70377192],10,-3,0
101,23,6,14,96,7.0,11,11,0,[ 6.39414938 13.90583372],14,0,0
102,23,22,15,106,3.0,14,14,0,[ 7.28966701  9.17925464 12.27819559],15,0,0
103,23,7,16,97,2.0,15,15,0,[ 3.73190248 12.51581027 13.94064833],16,0,0
104,23,12,17,104,0.0,19,19,0,[12.94306476  4.30932172],18,1,0
105,23,20,18,112,4.0,12,12,0,[14.48299453  3.17622157  3.97976761],19,1,0
106,23,16,19,111,0.0,22,22,0,[6.45624122 9.98146919],20,1,0
107,23,21,20,105,0.0,18,18,0,[12.42492344 12.70532236 10.27675556],17,-3,0
108,24,1,1,113,38.0,2,2,2,[4.16175711 9.03024275 8.58447178],2,1,0
109,24,9,2,121,42.0,1,1,1,[ 3.31207701 11.02498036  9.37879083],1,-1,0
110,24,8,3,120,35.0,4,4,2,[ 9.04503315  9.7499996  14.00861109],3,0,0
111,24,4,4,116,9.0,9,9,0,[12.36342622  5.08025743  7.62226683],4,0,0
112,24,3,5,115,8.0,10,10,0,[ 3.1403992  10.95443438  4.14772516],6,1,0
113,24,13,6,131,38.0,3,3,2,[11.54388298  3.34488728],7,1,0
114,24,5,7,117,15.0,6,6,0,[12.0723361  12.17945515  7.63397238],5,-2,0
115,24,2,8,114,28.0,5,5,0,[ 5.76439437 11.42563709],8,0,0
116,24,22,9,128,5.0,15,15,0,[ 6.9927864  11.82131752],9,0,0
117,24,17,10,123,15.0,7,7,0,[14.33602153  4.30970869],10,0,0
118,24,10,11,132,5.0,13,13,0,[12.05459599  9.42311476  5.72969644],11,0,0
119,24,6,12,118,7.0,11,11,0,[ 8.77149328 12.8563359   9.90412634],12,0,0
120,24,14,13,124,6.0,12,12,0,[13.92332265  8.49260737],13,0,0
121,24,15,14,122,12.0,8,8,0,[9.40536528 4.76151983],15,1,0
122,24,12,15,126,0.0,19,19,0,[9.4966361  4.72149498 4.14724455],14,-1,0
123,24,7,16,119,2.0,17,17,0,[ 7.02854471 14.77908866  7.13173172],17,1,0
124,24,16,17,133,0.0,22,22,0,[ 8.95873839  8.52978037 10.2596938 ],19,2,0
125,24,21,18,127,0.0,18,18,0,[10.97296938  7.41131491 13.77505904],18,0,0
126,24,18,19,125,3.0,16,16,0,[ 4.79313529 14.91153809  6.25667598],16,-3,0
127,24,20,20,134,5.0,14,14,0,[12.18597524  9.67184007  5.91251993],20,0,0
128,25,8,1,142,43.0,3,3,2,[ 3.91580951 13.56519995],3,2,0
129,25,13,2,153,48.0,1,1,3,[ 4.47488385 13.07132768  8.51948938],1,-1,0
130,25,1,3,135,38.0,4,4,2,[10.86405115 14.33409311 12.36676177],2,-1,0
131,25,4,4,138,10.0,9,9,0,[ 3.16395523 11.74857027 10.12087608],4,0,0
132,25,15,5,144,18.0,7,7,0,[14.7683073   6.92001518  4.94526737],5,0,0
133,25,5,6,139,20.0,6,6,0,[3.3105027  5.68370195 6.20872672],7,1,0
134,25,9,7,143,46.0,2,2,1,[4.22732222 7.17546312 4.23028611],9,2,0
135,25,17,8,145,18.0,8,8,0,[12.7618592  14.56758982  7.76760115],8,0,0
136,25,14,9,146,6.0,12,12,0,[ 4.8819947  12.48796854  7.97732695],11,2,0
137,25,10,10,154,5.0,13,13,0,[13.00408131 14.1758342   8.38240005],10,0,0
138,25,12,11,148,2.0,17,17,0,[12.88402159 14.65181158],6,-5,0
139,25,2,12,136,28.0,5,5,0,[14.62197767  7.25364556 11.43730841],12,0,0
140,25,20,13,156,5.0,14,14,0,[ 6.66531247 10.1863696 ],13,0,0
141,25,7,14,141,2.0,18,18,0,[7.91548389 6.03938778],14,0,0
142,25,3,15,137,8.0,10,10,0,[ 3.83207675 14.12605862  6.69551084],15,0,0
143,25,6,16,140,7.0,11,11,0,[ 7.31155521 10.21568705],16,0,0
144,25,18,17,147,3.0,16,16,0,[5.06461514 4.60288434],17,0,0
145,25,22,18,150,5.0,15,15,0,[ 6.62514678 12.34415925],18,0,0
146,25,21,19,149,0.0,19,19,0,[11.25789165  9.9911755   4.31277987],19,0,0
147,25,16,20,155,0.0,22,22,0,[13.1245627  13.98909792],20,0,0
148,26,5,1,161,24.0,6,6,0,[11.0436383   3.42362036],2,1,0
149,26,17,2,167,18.0,8,8,0,[10.93069312 10.53313491],1,-1,0
150,26,8,3,164,48.0,3,3,2,[ 8.82541183 14.90933721],4,1,0
151,26,1,4,157,48.0,1,1,3,[11.6977249  12.79539987],3,-1,0
152,26,2,5,158,36.0,5,5,0,[ 4.42517593 10.63626542  4.39329249],5,0,0
153,26,4,6,160,13.0,9,9,0,[12.0101274  14.73091912],7,1,0
154,26,12,7,170,2.0,18,18,0,[4.04827444 7.04193938],6,-1,0
155,26,20,8,178,5.0,15,15,0,[ 6.65510812  6.17200893 12.92021753],9,1,0
156,26,13,9,175,48.0,2,2,3,[10.54110355 13.89467831 12.68756435],10,1,0
157,26,9,10,165,46.0,4,4,1,[7.08073309 9.01388664 3.43363509],11,1,0
158,26,14,11,168,6.0,13,13,0,[14.31486239  9.22010836],8,-3,0
159,26,10,12,176,5.0,14,14,0,[13.48309307  9.91651381],13,1,0
160,26,7,13,163,2.0,17,17,0,[5.9537574  7.47018962],14,1,0
161,26,15,14,166,20.0,7,7,0,[8.06914814 6.37525015],15,1,0
162,26,6,15,162,8.0,12,12,0,[10.39285261  7.06048903],12,-3,0
163,26,22,16,172,11.0,10,10,0,[11.63813359  8.3294706 ],17,1,0
164,26,18,17,169,3.0,16,16,0,[ 7.24303208 12.70862131],18,1,0
165,26,3,18,159,8.0,11,11,0,[ 3.7616588  12.87655891],19,1,0
166,26,16,19,177,0.0,22,22,0,[7.94197005 9.71521597],16,-3,0
167,26,21,20,171,0.0,19,19,0,[11.26041773  6.17057233],20,0,0
168,27,1,1,179,58.0,1,1,4,[12.16718777  3.5032355  13.34675681],2,1,0
169,27,13,2,197,54.0,2,2,3,[ 9.29911022 14.83683142],3,1,0
170,27,5,3,183,28.0,6,6,0,[12.13480393  6.97346696],1,-2,0
171,27,15,4,188,20.0,7,7,0,[ 9.51088341 11.01405337  7.61221376],4,0,0
172,27,4,5,182,13.0,9,9,0,[ 8.06332818  4.41081683 10.34185594],7,2,0
173,27,8,6,186,51.0,3,3,2,[7.66338078 9.19587654],5,-1,0
174,27,9,7,187,48.0,4,4,1,[5.1097592  5.19024326],8,1,0
175,27,17,8,189,18.0,8,8,0,[10.39790906  8.37660218],9,1,0
176,27,20,9,200,6.0,15,15,0,[ 9.52598694  3.23324952 10.76644272],6,-3,0
177,27,14,10,190,6.0,14,14,0,[6.34241577 4.39104043],11,1,0
178,27,10,11,198,5.0,16,16,0,[7.98777196 8.73149965],12,1,0
179,27,2,12,180,41.0,5,5,0,[ 6.96712558  9.09123394 13.58870181],13,1,0
180,27,3,13,181,8.0,12,12,0,[10.96715504 10.78661902],14,1,0
181,27,18,14,191,3.0,17,17,0,[ 7.99895198 14.28170306],15,1,0
182,27,7,15,185,2.0,18,18,0,[8.10083762 7.15196431 9.25919542],17,2,0
183,27,6,16,184,8.0,13,13,0,[11.02190667 12.10366426],10,-6,0
184,27,12,17,192,10.0,11,11,0,[10.08695004  6.8514693   8.87072353],16,-1,0
185,27,22,18,194,11.0,10,10,0,[10.91353477  7.38192474 14.79682904],18,0,0
186,27,16,19,199,0.0,21,21,0,[8.62040857 8.74553721],20,1,0
187,27,21,20,193,0.0,19,19,0,[ 8.5030037  12.29828643],19,-1,0
188,28,1,1,201,62.0,1,1,4,[ 6.58924338 13.0221944 ],2,1,0
189,28,5,2,205,38.0,6,6,1,[4.43928243 8.80075803 8.50019532],3,1,0
190,28,13,3,219,54.0,3,3,3,[ 8.50018006 11.73296988  7.92539659],5,2,0
191,28,9,4,209,49.0,4,4,1,[ 8.56111513 13.81308915  6.91161434],1,-3,0
192,28,10,5,220,13.0,10,10,0,[3.24273704 7.9186987  4.43522551],7,2,0
193,28,8,6,208,57.0,2,2,2,[ 8.27274481 11.75733052],4,-2,0
194,28,4,7,204,18.0,8,8,0,[11.08911857 13.80790923],6,-1,0
195,28,17,8,211,18.0,9,9,0,[ 5.44802759 10.19772374],9,1,0
196,28,15,9,210,22.0,7,7,0,[ 5.93359889 13.89032663],8,-1,0
197,28,12,10,214,13.0,11,11,0,[6.42785055 8.28358518],11,1,0
198,28,20,11,222,6.0,16,16,0,[11.96125976 14.23865482 10.63542902],10,-1,0
199,28,18,12,213,3.0,17,17,0,[ 6.005201   14.29338703  5.75966358],13,1,0
200,28,14,13,212,6.0,15,15,0,[ 7.46870753 14.67749894],15,2,0
201,28,7,14,207,2.0,18,18,0,[ 9.68563603 10.83682486],14,0,0
202,28,3,15,203,8.0,13,13,0,[11.07928809 13.7724962  10.55072841],16,1,0
203,28,2,16,202,41.0,5,5,0,[10.51100086  9.29703886],17,1,0
204,28,6,17,206,8.0,14,14,0,[14.34587694  6.45469528],19,2,0
205,28,22,18,216,11.0,12,12,0,[12.09747691  3.29327308],12,-6,0
206,28,21,19,215,0.0,19,19,0,[6.86154862 5.3243061 ],18,-1,0
207,28,16,20,221,0.0,21,21,0,[ 3.64037556 11.33836034],20,0,1
208,29,13,1,241,64.0,2,2,4,[14.52467867  7.09304806],3,2,0
209,29,1,2,223,70.0,1,1,4,[7.09757884 3.33079498 7.1866157 ],1,-1,0
210,29,9,3,231,55.0,4,4,1,[7.98403995 7.05045223],5,2,0
211,29,8,4,230,57.0,3,3,2,[11.36871831  5.14689194  3.21866009],4,0,0
212,29,5,5,227,43.0,5,5,1,[ 3.61595862 11.42122771  7.48225101],6,1,0
213,29,20,6,244,9.0,14,14,0,[ 7.51530675 13.67597134  4.91129963],7,1,0
214,29,15,7,232,26.0,7,7,0,[12.06490183  7.59062259  7.2559532 ],2,-5,1
215,29,2,8,224,41.0,6,6,0,[ 7.02749685 10.59490496],8,0,0
216,29,3,9,225,9.0,13,13,0,[3.7594858  5.51221534],9,0,0
217,29,7,10,229,2.0,18,18,0,[ 6.04725142 12.04348865  5.29465934],11,1,0
218,29,6,11,228,8.0,15,15,0,[11.93053381  8.9667541 ],12,1,0
219,29,4,12,226,18.0,8,8,0,[12.10026624 10.05107294],10,-2,0
220,29,10,13,242,15.0,10,10,0,[12.35471183 14.78496874 12.29732491],15,2,0
221,29,17,14,233,18.0,9,9,0,[11.15544321 13.21781352  8.64886662],14,0,0
222,29,12,15,236,13.0,11,11,0,[ 6.06862107  6.32563289 11.5391485 ],13,-2,0
223,29,18,16,235,3.0,17,17,0,[3.63687314 4.91063154],17,1,0
224,29,14,17,234,6.0,16,16,0,[ 7.35334846 12.62521272 12.06515293],16,-1,0
225,29,21,18,237,0.0,19,19,0,[ 6.38595297 10.45214115 12.60411923],19,1,0
226,29,22,19,238,11.0,12,12,0,[10.94906869  3.51939709],20,1,0
227,29,16,20,243,0.0,21,21,0,[11.99658233  4.85476194  3.23129471],18,-2,0
228,30,1,1,245,76.0,1,1,4,[ 4.11728692 12.75451447],1,0,0
229,30,13,2,263,74.0,2,2,5,[ 5.70748728 11.02949635],3,1,0
230,30,5,3,249,43.0,6,6,1,[ 6.0151271   8.72380588 12.22655048],4,1,0
231,30,8,4,252,57.0,4,4,2,[ 8.21464999 12.74898302  5.80020725],5,1,0
232,30,2,5,246,49.0,5,5,0,[7.22793789 5.65992389],2,-3,0
233,30,4,6,248,23.0,8,8,0,[4.76833874 6.58913092 3.80210547],7,1,0
234,30,17,7,255,19.0,9,9,0,[4.62093495 6.76425684],9,2,0
235,30,9,8,253,58.0,3,3,1,[14.97321445 14.48146489 12.04991305],8,0,0
236,30,7,9,251,4.0,17,17,0,[ 4.67415236 11.0427286 ],6,-3,0
237,30,20,10,266,13.0,12,12,0,[11.34546818  4.21980764 13.44016765],10,0,0
238,30,15,11,254,26.0,7,7,0,[ 9.76998814  3.24482221 11.1566202 ],12,1,0
239,30,12,12,258,13.0,11,11,0,[11.94398285  8.3742671   9.09459965],13,1,0
240,30,10,13,264,15.0,10,10,0,[6.43989902 7.99865787 3.99661894],15,2,0
241,30,14,14,256,6.0,16,16,0,[12.54745913 10.4794114  12.74978612],14,0,0
242,30,3,15,247,9.0,14,14,0,[12.83102086  8.64091906],16,1,0
243,30,22,16,260,11.0,13,13,0,[12.91681101 14.9261142 ],11,-5,0
244,30,18,17,257,3.0,18,18,0,[6.45881591 3.88133001 3.49036464],17,0,0
245,30,16,18,265,0.0,20,20,0,[ 5.7008715  3.0122377 14.5945996],18,0,0
246,30,6,19,250,8.0,15,15,0,[12.37003909  3.12828439  4.18787107],19,0,0
247,30,21,20,259,0.0,19,19,0,[10.86237519  4.92562701],20,0,0
248,31,20,1,288,23.0,9,9,1,[12.51624373  5.31780882],2,1,0
249,31,5,2,271,51.0,6,6,1,[13.08336636 11.38840398 14.24526433],3,1,0
250,31,17,3,277,20.0,10,10,0,[10.27882415  4.18241867],4,1,0
251,31,7,4,273,4.0,17,17,0,[4.90368301 7.41227062],1,-3,0
252,31,3,5,269,9.0,14,14,0,[10.17169615  5.93087352],6,1,0
253,31,13,6,285,77.0,2,2,5,[ 5.0589721   9.12485389 10.18256713],5,-1,0
254,31,15,7,276,26.0,8,8,0,[9.15452634 5.94825461],9,2,0
255,31,4,8,270,28.0,7,7,0,[7.91996645 5.14006886],8,0,0
256,31,10,9,286,15.0,11,11,0,[9.60404522 8.43719625],7,-2,0
257,31,2,10,268,53.0,5,5,0,[ 8.68572468  3.19737676 12.01125122],10,0,0
258,31,9,11,275,64.0,3,3,1,[ 9.73284568 11.71794168],12,1,0
259,31,21,12,281,0.0,19,19,0,[11.48493339  7.62887899],11,-1,0
260,31,14,13,278,6.0,16,16,0,[ 9.06991374 13.63255068  4.82873233],13,0,0
261,31,8,14,274,57.0,4,4,2,[ 6.59076645  9.91952514 12.823024  ],14,0,0
262,31,1,15,267,78.0,1,1,4,[14.98005856 11.48545093 14.3960865 ],17,2,0
263,31,22,16,282,11.0,13,13,0,[12.01600241 13.0860501   5.31700853],16,0,0
264,31,12,17,280,13.0,12,12,0,[ 7.45063361 11.57465579 11.20297627],15,-2,0
265,31,6,18,272,8.0,15,15,0,[ 9.05566698 14.3762716 ],19,1,0
266,31,18,19,279,3.0,18,18,0,[14.04890847 12.3382518 ],20,1,0
267,31,16,20,287,0.0,20,20,0,[ 3.8246312   7.67287641 11.59113015],18,-2,0
268,32,13,1,307,77.0,2,2,5,[8.02056447 9.50996513 6.82632735],3,2,0
269,32,1,2,289,84.0,1,1,4,[ 6.66925183  7.62240907 14.08273863],2,0,0
270,32,8,3,296,57.0,4,4,2,[10.31674233  7.16739873  6.40301251],4,1,0
271,32,9,4,297,64.0,3,3,1,[13.95066451  3.50059948],1,-3,0
272,32,5,5,293,51.0,6,6,1,[4.84504983 4.63308914],6,1,0
273,32,2,6,290,56.0,5,5,0,[ 7.29614502 12.58746192],7,1,0
274,32,20,7,310,27.0,8,8,1,[14.77150708 12.01647978  7.00015001],5,-2,0
275,32,10,8,308,20.0,10,10,0,[11.61291535  7.89733258],8,0,0
276,32,3,9,291,17.0,12,12,0,[ 3.59364532 11.1745296  12.11539874],9,0,0
277,32,6,10,294,9.0,15,15,0,[ 7.87772851 11.00874739  4.74495939],10,0,0
278,32,15,11,298,26.0,9,9,0,[ 8.18508683 11.30632505 14.36496012],13,2,0
279,32,18,12,301,3.0,18,18,0,[10.8366634   8.79008645],11,-1,0
280,32,17,13,299,20.0,11,11,0,[11.76365907 12.57653063 10.22439183],15,2,0
281,32,14,14,300,8.0,16,16,0,[12.22921907 12.88943232],14,0,0
282,32,4,15,292,38.0,7,7,1,[ 7.10879029  6.25111009 10.57875618],16,1,0
283,32,12,16,302,13.0,13,13,0,[ 5.39234566 13.07989718],17,1,0
284,32,7,17,295,4.0,17,17,0,[13.83443092  4.3741407  12.28578867],12,-5,0
285,32,22,18,304,11.0,14,14,0,[14.22818264 10.96951562],19,1,0
286,32,16,19,309,0.0,20,20,0,[12.99503406 10.4097343  12.4029445 ],20,1,0
287,32,21,20,303,0.0,19,19,0,[ 4.77167022  5.60038142 14.77622455],18,-2,0
288,33,1,1,311,84.0,1,1,4,[13.44172414  5.57392247  7.79220838],2,1,0
289,33,8,2,318,63.0,4,4,2,[ 8.72243188 12.94367302  6.02390142],3,1,0
290,33,5,3,315,51.0,6,6,1,[5.3874607  4.65507069],5,2,0
291,33,4,4,314,48.0,7,7,2,[13.20663236  8.69952104],4,0,0
292,33,13,5,329,79.0,2,2,5,[ 6.35451509 10.94604973  8.22978919],7,2,0
293,33,9,6,319,72.0,3,3,1,[10.2347518  10.74063343],6,0,0
294,33,15,7,320,30.0,9,9,0,[9.47332739 8.05103933],9,2,0
295,33,10,8,330,20.0,11,11,0,[13.43079417  6.88607777 14.97746361],8,0,0
296,33,20,9,332,30.0,8,8,1,[ 5.86704817  9.34545088 13.75161556],10,1,0
297,33,7,10,317,4.0,17,17,0,[ 3.01645646 13.64741116],1,-9,0
298,33,14,11,322,8.0,16,16,0,[ 5.71319734 11.4430599 ],11,0,0
299,33,12,12,324,18.0,12,12,0,[5.56674312 6.54529762],13,1,0
300,33,17,13,321,21.0,10,10,0,[ 6.76979666 14.23610416  4.52236719],14,1,0
301,33,6,14,316,9.0,15,15,0,[12.02918882 12.60262371],12,-2,0
302,33,3,15,313,17.0,13,13,0,[3.1495357  5.55510304],16,1,0
303,33,2,16,312,56.0,5,5,0,[8.31513452 7.55165671],17,1,0
304,33,22,17,326,11.0,14,14,0,[ 9.2490945 11.1748633],18,1,0
305,33,18,18,323,3.0,18,18,0,[ 9.7757503  13.72122687  6.02875968],19,1,0
306,33,16,19,331,0.0,20,20,0,[ 9.84145958 14.95888347 12.02408245],20,1,0
307,33,21,20,325,0.0,19,19,0,[ 7.28801354  9.84153474 13.61173462],15,-5,0
308,34,1,1,3438,94.0,1,1,5,[9.07329762 8.72357683],2,1,0
309,34,8,2,3445,69.0,4,4,2,[ 4.07565246 12.23111289],1,-1,0
310,34,13,3,3456,87.0,2,2,5,[12.86899703 13.41497109],5,2,0
311,34,4,4,3441,53.0,6,6,2,[8.67312409 8.84670016],3,-1,0
312,34,5,5,3442,51.0,7,7,1,[11.19913344 13.11735876  7.2658226 ],7,2,0
313,34,17,6,3448,21.0,11,11,0,[ 4.6894296  13.00496967 14.34644018],6,0,0
314,34,2,7,3439,60.0,5,5,0,[ 6.13116423 13.7690045 ],8,1,0
315,34,20,8,3459,30.0,8,8,1,[4.00649465 8.44994246 8.43443875],4,-4,0
316,34,15,9,3447,30.0,9,9,0,[14.6104699   9.47947605],10,1,0
317,34,7,10,3444,4.0,17,17,0,[11.96069092 12.38874792 13.97671973],9,-1,0
318,34,12,11,3451,19.0,12,12,0,[13.37375147  5.73825775],12,1,0
319,34,9,12,3446,75.0,3,3,1,[11.59566165  4.17207953],11,-1,0
320,34,10,13,3457,22.0,10,10,0,[4.5572534  4.75890081],14,1,0
321,34,22,14,3453,11.0,14,14,0,[9.81372782 4.1006857  6.27515046],15,1,1
